address,amount,points
0xCCAdAc8613331E505b12c5cB520002a212222222,2845296891340867205145,1448.0490943941847
0x282511fAb3dFF92a99EaD0F8E812476C67E100E6,2844503873469823247433,1447.6455059976633
0x34d69Dd45eCCc2cef53B2E8aE8F768cD404c4418,2822460669031292127329,1436.4271187981053
0xc460d585EAcD1F5538a43f351aF9aD67c9313927,2762135791679386784381,1405.7261454533866
0x345B4752d3894D1f942B853B0ac1E46f6E7F9F75,2739258860842514877731,1394.0834521788584
0x9327cE696611c0e0488685B0033BB397Fc52cE0E,2725685935527995297889,1387.175820757412
0x4a0c94465C3B569525F948F76256344c16781A3A,2716493309004128605011,1382.4974427106429
0x712Ff5371bb8a30673Ac1C4d502BC399Cded6cCC,2701490656553667577100,1374.8621842036957
0x805Ea5f9e08Ba5705F3072482781afb1775BD8cA,2694366873517239582725,1371.2366969633472
0xF098a3adD77647ff8326f075d35df6aF7eC10647,2690487343480628169345,1369.2622984486309
0xB377003147d71b0d7c4649F7C248a49B12a1a2d3,2686642947122920759284,1367.3057804201562
0xab98161A3Aa1Cb308A529ABBD7A1280861FAE768,2684998907210266679613,1366.4690837246687
0xed59247B1B3548AFb45528BfF9461a5E8F0C3707,2664386788319281095028,1355.97901494328
0x3762D04e49578D3B912e377DC1f610bf372f7569,2644558784386123079457,1345.88800362336
0x0567D67105ae13d00B60a991e57b9CC83f05c083,2605708830904199203360,1326.1162040168012
0xDc6bc28ca064a72e1F3ed7E18bC8b339217832eC,2600825417678290705226,1323.630902001096
0x8ad9cb4354a38969962DFB994D6f6c648cdcD301,2580127295613588103151,1313.0970638618612
0x45d993393f7B3Fe781935e1155118C7f830d4415,2551353750383535043511,1298.4534228978234
0x7776dde6855b9341ae747b2069Bb57991FC37777,2542712256459589298174,1294.0555312441036
0x17134D2b7529a0692E39FC1Eadb24D1a903ad0Bd,2528492754804903142940,1286.8188395102927
0xf214601fd983F6d5775E395Bc50BD1c17CE3006b,2492886974075411217200,1268.6980877892863
0x9E6E9C9e38bDC487e87E6412a5C525e2FFAbAc25,2479600500368609573343,1261.936239394
0x81967899BA09FB9351174a032593549bE93C4400,2472388503933897482057,1258.265857952316
0xD05A98152cfE5Ac8A9b38CfF60B2388a72815cb1,2458718669142886028567,1251.3089066584516
0x84323C7139Af855dE059Dc08eb4a9a1C94F2b42B,2456873287802769482369,1250.3697418259521
0x705d857bF09414e43Eb8CF812AcffB59A0dd64C7,2425231598201643464563,1234.266424062715
0xe58FfE89d96C0Ef690aae6E00811166155Fa0344,2410285465758236568945,1226.6599301269725
0x610984c92dbbe41535C327F05206d6D9390C8df5,2399301416899827927409,1221.069848455494
0xc8C4Ad70435951B6FF18b9A56a9801528FE632a1,2368121506423419759813,1205.2015426677708
0x6823DAd8645D8634EDA74eE1aD9f308490F953B0,2365851576306273273076,1204.046313397857
0x602cee5d739d17Fa931db2467A8FE9AD774eD99E,2364053389206799238309,1203.131167
0xbd8cd3Ded81BcA33E30984e44797A56fd61Fc076,2358772102447485849552,1200.4433763049992
0x42Ac3d59691c75f3CA792b2DA39b2Aec8dC41715,2336493045826235174900,1189.1049575050001
0x69794735cA88dE2eC2426fB20F416FA00F64Ad37,2333150572272631052329,1187.403881664
0x2Da8Bca60FF65A0457017F68530b7F1f49e32b4A,2328021812896105529944,1184.793716308973
0xA9932F3AA0f25D1b496040Af2bd6E7305fcC1aCe,2327957916395276242838,1184.761197639149
0xa1Be60a3dd728C15004344Ace9039Dae426A707b,2320442911582536908099,1180.936606979885
0xc6Cfbd8173b88b39d060545594c16aDCFC41c961,2312931173496923292987,1177.1136788470417
0x03111F6c388575FD3C1E915611D3729a7fa6d744,2298453133239283943112,1169.7454097755503
